Issue Key,Issue Name,Issue Type,Components,Total Worklog Time (hours),Time in Done (hours),Time in In Progress (hours),Time in Review (hours),Time in Testing (hours),Time in To Do (hours),Transitions from Done,Transitions from In Progress,Transitions from Review,Transitions from Testing,Transitions from To Do
YIAM-28,User data: BE - nastavení image storage,Sub-task,BE,8.0,0,4.445053611111111,0.3154716666666667,841.2017319444444,0,0,1,1,1,1
YIAM-27,User data: BE,Sub-task,BE,1.75,0,10.798137222222223,60.97038166666667,943.0466080555556,0,0,1,1,1,1
YIAM-26,User data: iOS,Sub-task,iOS,6.0,0,186.77596,5.83082,287.1313938888889,0,0,1,1,1,1
YIAM-25,Pick your avatar: BE - Vygenerování nick name,Sub-task,BE,10.5,0,942.5160775,0.005772777777777778,0.0008305555555555556,0,0,1,1,1,1
YIAM-24,Pick your avatar: BE,Sub-task,BE,0.75,0,581.0348272222222,0.0010527777777777777,361.47419,0,0,1,1,1,1
YIAM-23,Pick your avatar: iOS,Sub-task,iOS,2.0,0,186.78818916666668,2.716028888888889,289.9775252777778,0,0,1,1,1,1
YIAM-21,Create your own interest: iOS,Sub-task,iOS,8.0,0,55.222498055555555,18.586475,268.2347463888889,0,0,1,1,1,1
YIAM-22,Create your own interest: BE,Sub-task,BE,3.25,0,0.0005308333333333334,47.32987555555555,942.7385738888888,0,0,1,1,1,1
YIAM-19,Pick your interests: iOS - napojení na BE,Sub-task,iOS,5.75,0,291.57449555555553,22.04663361111111,289.42531444444444,0,0,1,1,1,1
YIAM-18,Pick your interests: BE,Sub-task,BE,2.0,0,10.603035555555556,61.16532083333333,942.23374,0,0,1,1,1,1
YIAM-16,Networking,Story,,0,2231.795272777778,0,0.0006075,1179.839320277778,0,1,0,1,1,1
YIAM-17,Networking: iOS - implementace networking vrstvy ,Sub-task,iOS,27.25,0,48.62132305555556,8.40580361111111,0.0004080555555555556,0,0,1,1,1,1
YIAM-15,Project setup/architecture,Epic,,0,0,0,0.0012238888888888887,0.00067,0,0,0,1,1,1
YIAM-14,Login / Signup: iOS - napojení na BE,Sub-task,iOS,7.0,0,144.85785333333334,167.46613666666664,188.14851944444445,0,0,1,1,1,1
YIAM-13,Login / Signup: BE,Sub-task,BE,5.5,0,16.873107222222224,71.71705277777778,818.9039572222222,0,0,1,1,1,1
YIAM-12,Login / Signup: iOS - UI,Sub-task,iOS,7.25,0,714.5818680555556,167.46454,188.14982861111113,0,0,1,1,1,1
YIAM-10,Permitions,Story,,0,1013.9425766666667,0,0.0007955555555555555,0.0006341666666666667,0,1,0,1,1,1
YIAM-11,Preview: iOS - UI,Sub-task,iOS,7.5,0,88.97813666666667,0.10712944444444444,981.1098494444444,0,0,1,1,1,1
YIAM-9,User data,Story,,0,3073.859683333333,0,0.0002555555555555556,0.0005216666666666666,0,1,0,1,1,1
YIAM-7,Create your own interest,Story,,0,3074.1685327777777,0,0.0004311111111111111,0.0007122222222222223,0,1,0,1,1,1
YIAM-8,Pick your avatar,Story,,0,3074.129004444444,0,0.00045694444444444444,0.000566388888888889,0,1,0,1,1,1
YIAM-6,Pick your interests,Story,,0,3074.6739930555555,0,0.0004686111111111111,0.0004963888888888889,0,1,0,1,1,1
YIAM-4,Preview,Story,,0,3074.614516111111,0,0.0005036111111111111,0.00043916666666666664,0,1,0,1,1,1
YIAM-5,Login / Signup,Story,,0,3074.690383888889,0,0.0005555555555555556,1.1543961111111112,0,1,0,1,1,1
